	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	22	23	24	25	27	28	29	31	42	43	44	45	46	48	49	50	51	53	54	56	57	58	61	62	71	72	81	82	83	84	90	91	92	93	95	96	97	99	100	102	103	104	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	142	143	144	145	146	147	148	149	150	151	152	153	155	156	157	158	159	161	166	167	171	172	173	174	177	178	179	180	181	182	183	184	185
Synergistaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietziaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Brevibacteriaceae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermacoccaceae	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Actinomycetaceae	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	2	2	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	2	2	0	0	0	2	0	2	2	0	0	3	2	0	0	3	2	0	2	0	0	2	2	0	0	0	4	0	2	2	2	0	2	2	0	0	0	0	2	2	0	0	0	0	0	2
Bacillaceae	2	0	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	2	0	0	3	0	2	3	2	0	0	2	0	2	0	0	2	0	6	0	0	0	2	2	2	2	0	2	0	3	2	0	2	2	3	2	0	2	2	19	2	0	3	2	2	3	0	0	2	0	0	0	0	2	2	0	0	0	2	0	2	0	2	2	3	2	0	2	0	2	0	0	0	2	2	0	0	0	2	0	2	3	4	2	0	0	0	2	2	0	2	0	4	0	3	0	0	3	0	0	0	0	2	0	2	0	2	2
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	13	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	2	2	0	2	0	0	2	3	0	0	2	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2
Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioidaceae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
